|REPORTING YEAR|COMPANY|GAS|SECTOR|GHG_CONTRIBUTION
55|2015|FPL GROUP|N2O|Upstream|1.0
56|2016|FPL GROUP|CH4|Midstream|3088.0
57|2016|FPL GROUP|CO2|Midstream|4857.0
58|2016|FPL GROUP|N2O|Midstream|3.0
59|2017|FPL GROUP|CH4|Midstream|3040.0
60|2017|FPL GROUP|CO2|Midstream|8768.0
61|2017|FPL GROUP|N2O|Midstream|4.0
62|2015|HESS|CH4|Midstream|7548.0
63|2015|HESS|CO2|Midstream|212081.0
64|2015|HESS|N2O|Midstream|107.0
65|2016|HESS|CH4|Midstream|3241.0
66|2016|HESS|CO2|Midstream|219314.0
67|2016|HESS|N2O|Midstream|111.0
68|2017|HESS|CH4|Midstream|29694.0
69|2017|HESS|CO2|Midstream|360022.0
70|2017|HESS|N2O|Midstream|180.0
71|2018|HESS|CH4|Midstream|33439.0
72|2018|HESS|CO2|Midstream|492429.0
73|2018|HESS|N2O|Midstream|248.0
74|2011|HESS|CH4|Midstream|2451.0
75|2011|HESS|CO2|Midstream|112293.0
76|2011|HESS|N2O|Midstream|49.0
77|2012|HESS|CH4|Midstream|4894.0
78|2012|HESS|CO2|Midstream|122585.0
79|2012|HESS|N2O|Midstream|58.0
80|2013|HESS|CH4|Midstream|2541.0
81|2013|HESS|CO2|Midstream|121388.0
82|2013|HESS|N2O|Midstream|57.0
83|2014|HESS|CH4|Midstream|3136.0
84|2014|HESS|CO2|Midstream|177551.0
85|2014|HESS|N2O|Midstream|92.0
86|2011|HILAND PARTNERS|CH4|Midstream|1625.0
87|2011|HILAND PARTNERS|CO2|Midstream|62354.0
88|2011|HILAND PARTNERS|N2O|Midstream|10.0
89|2012|HILAND PARTNERS|CH4|Midstream|11939.0
90|2012|HILAND PARTNERS|CO2|Midstream|142265.0
91|2012|HILAND PARTNERS|N2O|Midstream|55.0
92|2013|HILAND PARTNERS|CH4|Midstream|9266.0
93|2013|HILAND PARTNERS|CO2|Midstream|171927.0
94|2013|HILAND PARTNERS|N2O|Midstream|69.0
95|2014|HILAND PARTNERS|CH4|Midstream|20286.0
96|2014|HILAND PARTNERS|CO2|Midstream|173405.0
97|2014|HILAND PARTNERS|N2O|Midstream|68.0
98|2015|KINDER MORGAN|CH4|Midstream|32544.0
99|2015|KINDER MORGAN|CO2|Midstream|233186.0
100|2015|KINDER MORGAN|N2O|Midstream|101.0
101|2016|KINDER MORGAN|CH4|Midstream|15232.0
102|2016|KINDER MORGAN|CO2|Midstream|227342.0
103|2016|KINDER MORGAN|N2O|Midstream|97.0
104|2017|KINDER MORGAN|CH4|Midstream|16605.0
105|2017|KINDER MORGAN|CO2|Midstream|245325.0
106|2017|KINDER MORGAN|N2O|Midstream|108.0
107|2018|KINDER MORGAN|CH4|Midstream|14249.0
108|2018|KINDER MORGAN|CO2|Midstream|219139.0
109|2018|KINDER MORGAN|N2O|Midstream|115.0
110|2016|LIBERTY RESOURCES|CH4|Upstream|17316.0
111|2016|LIBERTY RESOURCES|CO2|Upstream|162215.0
112|2016|LIBERTY RESOURCES|N2O|Upstream|121.0
113|2017|LIBERTY RESOURCES|CH4|Upstream|12659.0
114|2017|LIBERTY RESOURCES|CO2|Upstream|129367.0
115|2017|LIBERTY RESOURCES|N2O|Upstream|82.0
116|2018|LIBERTY RESOURCES|CH4|Upstream|16690.0
117|2018|LIBERTY RESOURCES|CO2|Upstream|123681.0
118|2018|LIBERTY RESOURCES|N2O|Upstream|71.0
119|2016|LIME ROCK RESOURCES|CH4|Midstream|315.15000000000003
120|2016|LIME ROCK RESOURCES|CO2|Midstream|9308.671499999999
121|2016|LIME ROCK RESOURCES|N2O|Midstream|4.584
122|2017|LIME ROCK RESOURCES|CH4|Midstream|159.867
123|2017|LIME ROCK RESOURCES|CO2|Midstream|7993.35
124|2017|LIME ROCK RESOURCES|N2O|Midstream|4.011
125|2018|LIME ROCK RESOURCES|CH4|Midstream|230.346
126|2018|LIME ROCK RESOURCES|CO2|Midstream|8602.1625
127|2018|LIME ROCK RESOURCES|N2O|Midstream|4.2975
128|2015|LIBERTY RESOURCES|CH4|Upstream|4418.0
129|2015|LIBERTY RESOURCES|CO2|Upstream|112375.0
130|2015|LIBERTY RESOURCES|N2O|Upstream|105.0
131|2015|LIME ROCK RESOURCES|CH4|Midstream|408.54900000000004
132|2015|LIME ROCK RESOURCES|CO2|Midstream|9447.9105
133|2015|LIME ROCK RESOURCES|N2O|Midstream|4.2975
134|2015|MARATHON OIL|CH4|Upstream|105053.0
135|2015|MARATHON OIL|CO2|Upstream|886304.0
136|2015|MARATHON OIL|N2O|Upstream|447.0
