COMPANY,2011,2012,2013,2014,2015,2016,2017,2018
FUELS ACQUISITION,3584.0,269.0,,0.0,,,,
GALESI GROUP,,,,176864.0,236293.0,327052.0,443244.0,526598.0
GAS TRANSMISSION SERVICES COMPANY,,34065.0,33099.0,34551.0,595094.0,34697.0,37114.0,41570.0
GASCO ENERGY,44624.0,61089.0,39167.0,65302.0,,,,
GDF SUEZ ENERGY NA,,72042.0,49799.0,18065.0,35211.0,,,
GENERAL ELECTRIC,,,,,74861.0,98846.0,92014.0,
GENESIS ENERGY,,,,,21508.0,22044.0,19878.0,46750.0
GEO R BROWN PARTNERSHIP,1744.0,1115.0,1246.0,1363.0,1383.0,1448.0,,
GEOSOUTHERN ENERGY,260843.0,234016.0,329662.0,35170.0,76789.0,93929.0,120973.0,146245.0
GIP-B1 MASTER PTNR,,,,,10432.0,2414.0,4906.0,5150.0
GLOBAL INFRASTRUCTURE PARTNERS - A,,,10617.0,16652.0,,,,
GOLDEN PASS LNG TERMINAL INVESTMENTS,,,,,2.0,,,
GOODRICH PETROLEUM,135515.0,144695.0,102737.0,86561.0,73002.0,42989.0,30539.0,17904.0
GRADE 6 OIL,,,,,,,,227737.0
GREAT LAKES GAS TRANSMISSION,430047.0,245629.0,179803.0,159067.0,113354.0,,,
GULF PINE ENERGY OPERATING,,,,,,,89596.0,82668.0
GULFPORT ENERGY,50682.0,50611.0,129128.0,140157.0,309352.0,146037.0,188480.0,441521.0
GULFTEX ENERGY III,,,,,45105.0,4195.0,33167.0,75174.0
HALCON RESOURCES,225701.0,1186408.0,1139706.0,1171520.0,819447.0,712009.0,,235647.0
HARVEST ENERGY,2912.0,2391.0,2225.0,2104.0,1409.0,797.0,794.0,793.0
HARVEST PIPELINE,,,,,,,110554.0,3286971.0
HAWKWOOD ENERGY MANAGEMENT LLC 220,,,,,27922.0,27596.0,132720.0,194834.0
"HAWKWOOD ENERGY MANAGEMENT, LLC 220",,,,27091.0,,,,
HELIS OIL AND GAS COMPANY,101565.0,25622.0,50097.0,70079.0,43275.0,33308.0,33804.0,20612.0
HENRY RESOURCES,,,,,,,27339.0,25753.0
HESS,1270567.0,2153409.0,1959737.0,2316622.0,2562749.0,2052949.0,2172696.0,2823353.0
HG ENERGY II APPALACHIA,,,,,,,,78371.0
HIGHPOINT RESOURCES,,,,,,,,281596.0
HILAND PARTNERS,63989.0,154259.0,205063.0,218044.0,,,,
HILCORP ENERGY,336100.0,414368.0,757024.0,1584991.0,2752913.0,3858958.0,6423428.0,7222181.0
HINKLE OIL & GAS,,,,,,,,67112.0
HOLMES WESTERN OIL,,,,28618.0,30345.0,36993.0,30446.0,34482.0
HOOVER ENERGY PARTNERS,162695.0,187316.0,138557.0,,,,,
