REPORTING YEAR|PARENT_COMPANY|GAS|SECTOR|GHG_CONTRIBUTION|2018_UPSTREAM_RANK|2018_MIDSTREAM_RANK|2018_OVERALL_RANK|STANDARD_COMPANY_NAME
2016|DEVON ENERGY CORP|CH4|Upstream|1858.5736000000002|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|CH4|Midstream|1284.9812|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|N2O|Upstream|4.132|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|N2O|Midstream|28.348|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|CO2|Upstream|6700.7611|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|CO2|Midstream|52247.062600000005|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|CH4|Upstream|1860.2264|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|CO2|Upstream|2972.974|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|N2O|Midstream|20.619|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|N2O|Upstream|1.8594|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|N2O|Upstream|1349.0|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|CO2|Midstream|195373.7125|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|CO2|Upstream|2918672.0|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|N2O|Midstream|346.85|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|N2O|Upstream|1508.0|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|CH4|Midstream|20960.55|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|CH4|Upstream|1020840.0|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|CO2|Midstream|196955.575|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|CO2|Upstream|1349937.0|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|N2O|Midstream|212.88750000000002|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|CH4|Midstream|3245.9625|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|N2O|Upstream|666.0|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|CO2|Midstream|282887.025|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|CO2|Upstream|1540866.0|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|N2O|Midstream|186.1375|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|N2O|Upstream|1044.0|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|CH4|Midstream|14443.0875|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|CH4|Upstream|866155.0|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|CO2|Midstream|269942.875|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|CO2|Upstream|2583352.0|3.0|78.0|18.0|DEVON ENERGY
2015|DEVON ENERGY CORP|CH4|Midstream|405.197|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|CH4|Midstream|25620.7875|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|N2O|Midstream|128.625|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|CH4|Upstream|932711.0|3.0|78.0|18.0|DEVON ENERGY
2015|MARATHON OIL CO|N2O|Midstream|37.44|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|CH4|Midstream|52819.0|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|CH4|Upstream|419195.0|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|CO2|Midstream|555380.0|4.0|45.0|15.0|MARATHON OIL
2015|MARATHON OIL CO|CH4|Upstream|7755.5|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|N2O|Midstream|284.0|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|N2O|Upstream|623.0|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|CH4|Midstream|39987.0|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|CH4|Upstream|370482.0|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|CO2|Midstream|528655.0|4.0|45.0|15.0|MARATHON OIL
2015|MARATHON OIL CO|N2O|Upstream|1249.0|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|CO2|Upstream|1478508.0|4.0|45.0|15.0|MARATHON OIL
2015|MARATHON OIL CO|CO2|Midstream|66558.48000000001|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|N2O|Upstream|939.0|4.0|45.0|15.0|MARATHON OIL
2018|MARATHON OIL CO|CH4|Midstream|30446.0|4.0|45.0|15.0|MARATHON OIL
2018|MARATHON OIL CO|CH4|Upstream|394998.0|4.0|45.0|15.0|MARATHON OIL
2018|MARATHON OIL CO|CO2|Midstream|679089.0|4.0|45.0|15.0|MARATHON OIL
2018|MARATHON OIL CO|CO2|Upstream|2981349.0|4.0|45.0|15.0|MARATHON OIL
